id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,packet span,98,43,4,105,324,ship,baseline,monotonic-signal
g002,retry pressure,115,65,28,71,226,ship,edge,drag-penalty
g003,route drift,83,44,20,50,160,watch,recovery,confidence-floor
g004,socket risk,114,71,39,53,157,watch,negative,lane-boundary
g005,packet span,45,17,8,59,126,watch,baseline,monotonic-signal
g006,retry pressure,58,62,36,66,64,hold,edge,drag-penalty
g007,route drift,112,52,9,31,262,ship,recovery,confidence-floor
g008,socket risk,99,50,39,104,157,watch,negative,lane-boundary
g009,packet span,52,16,35,102,47,hold,baseline,monotonic-signal
g010,retry pressure,32,37,13,63,99,hold,edge,drag-penalty
g011,route drift,113,50,25,48,199,ship,recovery,confidence-floor
g012,socket risk,69,24,32,88,90,hold,negative,lane-boundary
g013,packet span,51,13,40,69,-16,hold,baseline,monotonic-signal
g014,retry pressure,89,45,43,21,29,hold,edge,drag-penalty
g015,route drift,68,29,25,45,85,hold,recovery,confidence-floor
g016,socket risk,61,23,38,61,16,hold,negative,lane-boundary
g017,packet span,105,23,25,74,182,watch,baseline,monotonic-signal
g018,retry pressure,42,60,20,85,129,watch,edge,drag-penalty
g019,route drift,102,46,40,95,145,watch,recovery,confidence-floor
g020,socket risk,48,42,31,104,87,hold,negative,lane-boundary
g021,packet span,112,42,28,70,196,ship,baseline,monotonic-signal
g022,retry pressure,60,10,28,49,39,hold,edge,drag-penalty
g023,route drift,37,31,29,52,12,hold,recovery,confidence-floor
g024,socket risk,73,44,31,58,93,hold,negative,lane-boundary
g025,packet span,51,16,13,65,118,hold,baseline,monotonic-signal
g026,retry pressure,43,77,5,30,168,watch,edge,drag-penalty
g027,route drift,43,75,24,103,144,watch,recovery,confidence-floor
g028,socket risk,90,76,35,101,182,watch,negative,lane-boundary
g029,packet span,117,9,21,62,200,ship,baseline,monotonic-signal
g030,retry pressure,46,48,36,47,7,hold,edge,drag-penalty
g031,route drift,58,70,24,87,153,watch,recovery,confidence-floor
g032,socket risk,51,49,20,68,119,hold,negative,lane-boundary
g033,packet span,68,76,40,20,32,hold,baseline,monotonic-signal
g034,retry pressure,36,22,10,44,88,hold,edge,drag-penalty
g035,route drift,67,67,17,60,176,watch,recovery,confidence-floor
g036,socket risk,86,57,25,73,177,watch,negative,lane-boundary
g037,packet span,99,55,28,84,197,ship,baseline,monotonic-signal
g038,retry pressure,65,21,10,94,195,ship,edge,drag-penalty
g039,route drift,52,42,23,103,134,watch,recovery,confidence-floor
g040,socket risk,93,55,10,69,260,ship,negative,lane-boundary
g041,packet span,73,29,5,48,198,ship,baseline,monotonic-signal
g042,retry pressure,66,18,25,51,76,hold,edge,drag-penalty
g043,route drift,110,50,16,57,247,ship,recovery,confidence-floor
g044,socket risk,92,34,13,64,217,ship,negative,lane-boundary
g045,packet span,42,28,13,29,76,hold,baseline,monotonic-signal
g046,retry pressure,109,28,14,102,278,ship,edge,drag-penalty
g047,route drift,102,65,16,100,289,ship,recovery,confidence-floor
g048,socket risk,58,51,40,61,28,hold,negative,lane-boundary
g049,packet span,83,47,32,46,99,hold,baseline,monotonic-signal
g050,retry pressure,55,47,9,86,198,ship,edge,drag-penalty
g051,route drift,89,15,20,67,160,watch,recovery,confidence-floor
g052,socket risk,65,36,6,105,241,ship,negative,lane-boundary
g053,packet span,101,49,21,43,189,ship,baseline,monotonic-signal
g054,retry pressure,78,21,9,59,191,ship,edge,drag-penalty
g055,route drift,114,12,5,72,287,ship,recovery,confidence-floor
g056,socket risk,92,10,25,83,152,watch,negative,lane-boundary
g057,packet span,84,11,37,93,87,hold,baseline,monotonic-signal
g058,retry pressure,84,14,44,102,64,hold,edge,drag-penalty
g059,route drift,43,53,10,68,157,watch,recovery,confidence-floor
g060,socket risk,70,75,13,47,197,ship,negative,lane-boundary
g061,packet span,87,54,37,50,93,hold,baseline,monotonic-signal
g062,retry pressure,99,11,8,56,225,ship,edge,drag-penalty
g063,route drift,92,27,37,63,89,hold,recovery,confidence-floor
g064,socket risk,109,72,32,28,158,watch,negative,lane-boundary
g065,packet span,77,62,10,101,267,ship,baseline,monotonic-signal
g066,retry pressure,108,60,43,99,160,watch,edge,drag-penalty
g067,route drift,39,26,40,60,-36,hold,recovery,confidence-floor
g068,socket risk,52,47,40,45,-4,hold,negative,lane-boundary
g069,packet span,106,60,41,85,152,watch,baseline,monotonic-signal
g070,retry pressure,93,34,43,66,71,hold,edge,drag-penalty
g071,route drift,46,23,25,104,94,hold,recovery,confidence-floor
g072,socket risk,114,55,17,42,240,ship,negative,lane-boundary
g073,packet span,107,39,36,58,131,watch,baseline,monotonic-signal
g074,retry pressure,63,33,5,71,205,ship,edge,drag-penalty
g075,route drift,45,33,33,82,40,hold,recovery,confidence-floor
g076,socket risk,83,70,6,92,298,ship,negative,lane-boundary
g077,packet span,62,56,36,101,101,hold,baseline,monotonic-signal
g078,retry pressure,55,52,32,67,69,hold,edge,drag-penalty
g079,route drift,99,52,10,46,246,ship,recovery,confidence-floor
g080,socket risk,36,20,22,49,31,hold,negative,lane-boundary
g081,packet span,96,41,29,55,143,watch,baseline,monotonic-signal
g082,retry pressure,42,54,37,62,15,hold,edge,drag-penalty
g083,route drift,106,26,40,27,65,hold,recovery,confidence-floor
g084,socket risk,54,17,22,100,115,hold,negative,lane-boundary
g085,packet span,31,15,35,98,0,hold,baseline,monotonic-signal
g086,retry pressure,67,16,22,59,99,hold,edge,drag-penalty
g087,route drift,45,19,17,44,68,hold,recovery,confidence-floor
g088,socket risk,37,58,37,84,31,hold,negative,lane-boundary
g089,packet span,37,10,28,65,9,hold,baseline,monotonic-signal
g090,retry pressure,84,59,25,103,205,ship,edge,drag-penalty
g091,route drift,111,16,25,41,154,watch,recovery,confidence-floor
g092,socket risk,40,32,26,57,39,hold,negative,lane-boundary
g093,packet span,52,77,28,70,111,hold,baseline,monotonic-signal
g094,retry pressure,45,67,10,81,188,ship,edge,drag-penalty
g095,route drift,62,65,44,91,60,hold,recovery,confidence-floor
g096,socket risk,30,31,21,100,86,hold,negative,lane-boundary
